51d39b428a2d	4788f1c39085	994	626	1620	17139	56	0.00326740183207888	56	5170113	0.000313339379622844
4788f1c39085	810bdf2e81f1	526	38	564	17140	8	0.000466744457409568	8	5170623	0.000109077764903765
810bdf2e81f1	2a496c6df8c2	7674	6330	14004	17177	126	0.00733539034755778	126	5175050	0.00270606081100666
2a496c6df8c2	b5ff73121753	1127	789	1916	17180	41	0.00238649592549476	41	5175435	0.000370210426756398
b5ff73121753	5fc2e44956d3	73	94	167	17180	6	0.000349243306169965	6	5175414	3.2267949964969e-05
5fc2e44956d3	fab82463c585	2332	1392	3724	17201	101	0.00587175164234638	101	5179442	0.00071899637065151
fab82463c585	491684dbfd7f	2568	1226	3794	17212	134	0.00778526609342319	134	5182188	0.000732123188120539
491684dbfd7f	6757787f9499	746	463	1209	17223	32	0.00185798060732741	32	5184445	0.00023319757466807
6757787f9499	f492e385a264	84	82	166	17224	6	0.000348351137947051	6	5184476	3.20186649528323e-05
f492e385a264	04289246a504	1995	749	2744	18099	48	0.00265208022542682	48	5264121	0.000521264613788323
04289246a504	1e08844ef551	2547	1609	4156	18105	67	0.00370063518365093	67	5265237	0.000789328191684439
1e08844ef551	f25d5be75389	25	27	52	18105	3	0.000165700082850041	3	5265235	9.87610239618934e-06
f25d5be75389	fffed35054b5	19	16	35	18105	6	0.000331400165700083	6	5265238	6.64737282531198e-06
fffed35054b5	c16794559aed	274	134	408	18105	13	0.00071803369235018	13	5265378	7.74873143010815e-05
c16794559aed	d8e72a6fb8b7	48	10	58	18105	2	0.000110466721900028	2	5265416	1.10152740068401e-05
d8e72a6fb8b7	1e2aea110399	251	64	315	18107	12	0.000662727122107472	12	5265726	5.98208110334643e-05
1e2aea110399	429e7f7ba34d	176	35	211	18108	20	0.00110448420587586	20	5266015	4.00682489510569e-05
429e7f7ba34d	551ba9506154	58	33	91	18108	2	0.000110448420587586	2	5266040	1.72805371778414e-05
551ba9506154	5879c8980e69	35	16	51	18108	9	0.000497017892644135	9	5266059	9.68466171761463e-06
5879c8980e69	2462c73609b5	95	10	105	18108	15	0.000828363154406892	15	5266144	1.99386875862111e-05
2462c73609b5	d5e1673edb11	244	104	348	18108	10	0.000552242102937928	10	5266284	6.60807506773277e-05
d5e1673edb11	4b0e75e126f1	80	1	81	18108	4	0.000220896841175171	4	5266363	1.53806336555228e-05
4b0e75e126f1	bf5a0fd5db5c	4	8	12	18108	1	5.52242102937928e-05	1	5266359	2.27861412410358e-06
bf5a0fd5db5c	a7e017d058ba	478	432	910	18108	9	0.000497017892644135	9	5266405	0.000172793395114884
a7e017d058ba	85fb29b6da87	43	3	46	18108	3	0.000165672630881378	3	5266445	8.73454484002017e-06
